customer_id,segment,recency,frequency,monetary,total_revenue,total_profit,total_orders,estimated_clv,value_segment,customer_intelligence_segment
CUST00001,Potential Loyalists,209,1,42295.37,42295.37,14486.63,1,14486.63,High Value,Growth Opportunities
CUST00002,Potential Loyalists,63,2,8886.97,8886.97,2668.52,2,181.78,Low Value,Low-Value Customers
CUST00003,Loyal Customers,222,4,97133.9,97133.9,35721.19,4,3870.12,High Value,Loyal High-Value
CUST00004,Potential Loyalists,221,2,59992.7,59992.7,12140.17,2,2497.98,Medium Value,Growth Opportunities
CUST00005,Loyal Customers,247,4,57541.44,57541.44,23062.58,4,2829.76,Medium Value,Medium-Value Customers
CUST00006,At Risk,378,2,12964.9,12964.9,3387.81,2,1636.62,Medium Value,Medium-Value Customers
CUST00007,Loyal Customers,20,3,51458.17,51458.17,11270.31,3,819.06,Low Value,Low-Value Customers
CUST00008,Champions,30,4,42667.83,42667.83,16417.73,4,1081.54,Medium Value,Medium-Value Customers
CUST00009,Potential Loyalists,9,2,15624.61,15624.61,6730.66,2,2660.34,Medium Value,Growth Opportunities
CUST00010,Champions,8,4,65565.31,65565.31,17418.94,4,1384.65,Medium Value,Medium-Value Customers
CUST00011,Potential Loyalists,97,3,10257.93,10257.93,2650.84,3,210.22,Low Value,Low-Value Customers
CUST00012,Potential Loyalists,211,2,48430.66,48430.66,16566.6,2,11193.65,High Value,Growth Opportunities
CUST00013,Loyal Customers,122,3,44362.67,44362.67,13342.7,3,1157.22,Medium Value,Medium-Value Customers
CUST00014,Potential Loyalists,211,2,26300.6,26300.6,5092.45,2,1107.05,Medium Value,Growth Opportunities
CUST00016,Potential Loyalists,75,3,14083.84,14083.84,5739.86,3,513.86,Low Value,Low-Value Customers
CUST00017,Potential Loyalists,138,2,38845.08,38845.08,12253.51,2,1053.61,Medium Value,Growth Opportunities
CUST00018,Loyal Customers,48,3,23285.08,23285.08,7905.26,3,606.23,Low Value,Low-Value Customers
CUST00019,At Risk,114,1,4606.09,4606.09,2091.21,1,2091.21,Medium Value,Medium-Value Customers
CUST00020,Potential Loyalists,227,3,19280.02,19280.02,7155.8,3,903.51,Low Value,Low-Value Customers
CUST00021,Potential Loyalists,93,2,16497.260000000002,16497.26,6386.9,2,10301.45,High Value,Growth Opportunities
CUST00022,Needs Attention,218,1,611.13,611.13,257.13,1,257.13,Low Value,Low-Value / Low-Engagement
CUST00023,At Risk,441,2,26672.800000000003,26672.8,9934.78,2,6451.16,High Value,At-Risk High-Value
CUST00024,Potential Loyalists,178,4,28407.35,28407.35,9755.81,4,897.5,Low Value,Low-Value Customers
